Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
alllast_after_df7d6bbc		好久没有睡得这么沉过了……	game/chapters/after.rpy	95	"[what]"
alllast_after_c44fa1f9		自从那个圣诞节以后，我已经很久没能睡上个安稳觉。	game/chapters/after.rpy	96	"[what]"
alllast_after_d1eeb388		部分是因为来找我办案的人实在太多，部分是因为我总想起在白星酒馆的那几天。	game/chapters/after.rpy	97	"[what]"
alllast_after_33add1dc	tm	第？天，格列高利历？？？？年，？？月？？日	game/chapters/after.rpy	99	tm "[what]"
alllast_after_d93908b8		我睁开眼，看见的不是办公桌上堆积成山的案卷，而是……	game/chapters/after.rpy	100	"[what]"
alllast_after_6099ebe8		白星酒馆的天花板。	game/chapters/after.rpy	103	"[what]"
alllast_after_f321d176		我清楚地记得，昨天我结了两个案子，刚把艾萨克圣堂的案卷摊开，就倒在上面睡着了……	game/chapters/after.rpy	104	"[what]"
alllast_after_68d21b2f		为什么我会在酒馆醒来……	game/chapters/after.rpy	105	"[what]"
alllast_after_c43e8bf0		该起床看看究竟发生什么了。	game/chapters/after.rpy	106	"[what]"
alllast_after_7c7fafc5		我掀开被子，从床上坐起来。	game/chapters/after.rpy	107	"[what]"
c6_room_origin_5a1d4403	tm	要做点什么？	game/chapters/after.rpy	121	tm "[what]" nointeract
c6_room_origin_61732ace		我随手翻开册子的其中一页。	game/chapters/after.rpy	124	"[what]"
c6_room_origin_8ec873c2	nvlm	垩坡利恩的法律是仁慈的，对尚有悔改机会的罪人采取宽容的惩罚，或者免除刑罚，仅送往修道院进行教化。	game/chapters/after.rpy	128	nvlm "[what]"
c6_room_origin_67e22209	nvlm	对于无可救药的犯人，《赫利欧斯法典》有足够的办法给他们足够的惩罚，让他们不敢再次作恶。	game/chapters/after.rpy	129	nvlm "[what]"
c6_room_origin_12bb4445	nvlm	在 赫利欧斯一世 英明统治下的垩坡利恩，已经很久没有发生过恶性案件了。	game/chapters/after.rpy	130	nvlm "[what]"
c6_room_origin_5d3db39e	nvlm	没有了种族仇恨犯罪，垩坡利恩的发展越来越好。	game/chapters/after.rpy	131	nvlm "[what]"
c6_room_origin_bd5ab961		……嘁。	game/chapters/after.rpy	138	"[what]"
c6_room_origin_929ef5c6		我已经睡不着了。	game/chapters/after.rpy	141	"[what]"
freemap_c6_daily_9673937c		大堂里伊阿尼、彼得、卡恩和安卓各自坐在桌前。	game/chapters/after.rpy	167	"[what]"
freemap_c6_daily_e956809c		我忍不住揉了揉眼睛。	game/chapters/after.rpy	168	"[what]"
freemap_c6_daily_c76ff1ec		他们四个还在那里。	game/chapters/after.rpy	169	"[what]"
freemap_c6_daily_7c760102		一定有什么可以解释这一切……先问问吧。	game/chapters/after.rpy	170	"[what]"
c6_talk_to_813dd862	tm	和谁聊天呢？	game/chapters/after.rpy	175	tm "[what]" nointeract
c6_talk_to_0a17eb5e		我坐到安卓身边。	game/chapters/after.rpy	187	"[what]"
c6_talk_to_67d34040		安卓的眼睛血丝密布，一言不发。	game/chapters/after.rpy	192	"[what]"
c6_talk_to_b6685588		我好像……在哪见过这样的他。	game/chapters/after.rpy	193	"[what]"
c6_talk_to_caab1b46		他的头颅慢慢往下垂……	game/chapters/after.rpy	195	"[what]"
c6_talk_to_0a1ffef9		往下垂……	game/chapters/after.rpy	197	"[what]"
c6_talk_to_7eb418be		倒在桌上。	game/chapters/after.rpy	199	"[what]"
c6_talk_to_85f1d230		看来只是因为缺乏睡眠所以显得木讷。	game/chapters/after.rpy	200	"[what]"
c6_talk_to_93773ef2	ro	安卓？	game/chapters/after.rpy	201	ro "[what]"
c6_talk_to_b425659f		我慢慢把手伸向他抱着的鲁特琴。	game/chapters/after.rpy	202	"[what]"
c6_talk_to_ea5e740a	an	别碰我的琴！	game/chapters/after.rpy	208	an "[what]"
c6_talk_to_c71347dd	ro	哇啊！！！	game/chapters/after.rpy	209	ro "[what]"
c6_talk_to_bf0d1392		爪子碰上琴箱的一刻，安卓一个激灵跳起来。	game/chapters/after.rpy	210	"[what]"
c6_talk_to_22b37f85		长星吓得拿着擦到一半碟子的从厨房跑出来查看情况。	game/chapters/after.rpy	213	"[what]"
c6_talk_to_ebe0325b	ts	啊，只是有人碰了安卓的琴，没别的事我先回去了。	game/chapters/after.rpy	217	ts "[what]"
c6_talk_to_d11c408b	ro	呼……	game/chapters/after.rpy	219	ro "[what]"
c6_talk_to_911e4eb5		虽然好像见过这一幕，但还是吓到了。	game/chapters/after.rpy	220	"[what]"
c6_talk_to_532ea4de	an	罗曼你不要在我毫无防备的时候突然摸我琴啊！	game/chapters/after.rpy	223	an "[what]"
c6_talk_to_6a538b86	ro	我……又忘了。	game/chapters/after.rpy	224	ro "[what]"
c6_talk_to_8d8996cc	an	就差那么一点，我们两个都要被扔出去了！	game/chapters/after.rpy	226	an "[what]"
c6_talk_to_afcfc82a	an	怎么啦？有什么事吗？	game/chapters/after.rpy	230	an "[what]"
c6_talk_to_45e5d2a7		很多事。	game/chapters/after.rpy	231	"[what]"
c6_anzox_question_2561bf0b	ro	啊对了……今天是几号？	game/chapters/after.rpy	236	ro "[what]"
c6_anzox_question_0c95aead	an	几号？天呐……你没事吧？有没有不舒服？	game/chapters/after.rpy	237	an "[what]"
c6_anzox_question_b2ed4dd8	ro	没，只是刚睡醒，有些迷糊。别卖关子了。	game/chapters/after.rpy	238	ro "[what]"
c6_anzox_question_e6b797f0	an	还有一天就是圣诞节，我真不知道你怎么能忘得掉……	game/chapters/after.rpy	239	an "[what]"
c6_anzox_question_86323cc2	ro	关于艾尔耿，你有什么印象吗？	game/chapters/after.rpy	243	ro "[what]"
c6_anzox_question_5b480aee		我记得我问过这个问题……	game/chapters/after.rpy	244	"[what]"
c6_anzox_question_3190ace9	an	她似乎不怎么爱说话。	game/chapters/after.rpy	245	an "[what]"
c6_anzox_question_1a5717e2	an	而且为什么唱诗班的家伙会出现在酒馆里？我以为那群神神叨叨的家伙不会来这里的。	game/chapters/after.rpy	248	an "[what]"
c6_anzox_question_9f5168cd		回答是一样的……	game/chapters/after.rpy	249	"[what]"
c6_anzox_question_d1c99c26	an	大概是长星请她过来领唱圣诞颂歌吧？	game/chapters/after.rpy	252	an "[what]"
c6_anzox_question_713171a9		真的。	game/chapters/after.rpy	255	"[what]"
c6_anzox_question_817a03ae	ro	圣诞节你有什么计划吗？	game/chapters/after.rpy	261	ro "[what]"
c6_anzox_question_f65a9193	an	我啊……就在白星待着。好歹我和长星还算熟，别的老板可能会嫌我花钱少，赶我走。	game/chapters/after.rpy	263	an "[what]"
c6_anzox_question_85a531fe		看来没办法劝他在凶杀案发生前离开了。	game/chapters/after.rpy	264	"[what]"
c6_anzox_question_d5b1e24f		大家都劝不住的样子……去找艾尔耿看看吧。	game/chapters/after.rpy	267	"[what]"
c6_anzox_question_ed7247b5	ro	啊，没什么事。	game/chapters/after.rpy	270	ro "[what]"
c6_anzox_question_ba038bb9	an	没事的话就来好好喝一杯休息一会吧！	game/chapters/after.rpy	271	an "[what]"
c6_anzox_question_571efcd8		我得找其他人谈谈，弄懂究竟发生了什么。	game/chapters/after.rpy	273	"[what]"
c6_anzox_question_f73ecf77		我坐到彼得对面。	game/chapters/after.rpy	290	"[what]"
c6_anzox_question_6044a4ac		彼得抬头看着我。	game/chapters/after.rpy	294	"[what]"
c6_anzox_question_c4baba1f	pe	你觉得……真的有公平吗？	game/chapters/after.rpy	295	pe "[what]"
c6_anzox_question_1c71d3c4	ro	等等，今天几号？	game/chapters/after.rpy	297	ro "[what]"
